id,time,value
0,0.0,30.834516999999998
1,0.625,30.825772999999998
2,0.84375,30.828871000000003
3,1.078125,30.829134000000003
4,1.296875,30.825401
5,1.515625,30.818472999999997
6,1.75,30.828004999999997
7,1.96875,30.831833000000003
8,2.1875,30.828445000000002
9,2.421875,30.819127
10,2.640625,30.81685
11,2.875,30.81849
12,3.09375,30.827415000000002
13,3.3125,30.822252000000002
14,3.546875,30.817996
15,3.765625,30.825792
16,3.984375,30.820117
17,4.21875,30.815863
18,4.4375,30.807253000000003
19,4.671875,30.811206
20,4.890625,30.809913
21,5.109375,30.811704
22,5.34375,30.816209000000004
23,5.5625,30.822558
24,5.78125,30.808123
25,6.015625,30.808537
26,6.25,30.808057
27,6.46875,30.79894
28,6.6875,30.797617
29,6.921875,30.801433000000003
30,7.140625,30.801636
31,7.359375,30.797481
32,7.59375,30.80482
33,7.8125,30.796556
34,8.046875,30.796626
35,8.265625,30.788596000000002
36,8.484375,30.806159
37,8.71875,30.792109000000004
38,8.9375,30.798004
39,9.15625,30.773018
40,9.390625,30.782922999999997
41,9.609375,30.808512
42,9.828125,30.793806
43,10.0625,30.790939
44,10.28125,30.805318
45,10.515625,30.777553
46,10.734375,30.780084999999996
47,10.953125,30.794591999999998
48,11.1875,30.786313
49,11.40625,30.764884999999996
50,11.625,30.781632000000002
51,11.859375,30.780723
52,12.078125,30.771757
53,12.296875,30.783065
54,12.53125,30.773684000000003
55,12.75,30.763878000000002
56,12.984375,30.775709999999997
57,13.203125,30.76217
58,13.421875,30.828805
59,13.65625,31.273257
60,13.875,32.137704
61,14.09375,33.299389
62,14.328125,34.568769
63,14.546875,35.852096
64,14.78125,37.067429
65,15.0,38.243542
66,15.21875,39.368691999999996
67,15.453125,40.421633
68,15.671875,41.429497
69,15.890625,42.417909
70,16.125,43.347126
71,16.34375,44.252131
72,16.578125,45.125853
73,16.796875,45.968732
74,17.015625,46.792058000000004
75,17.25,47.631491
76,17.484375,48.392977
77,17.703125,49.151485
78,17.921875,49.874026
79,18.15625,50.577874
80,18.375,51.287784
81,18.609375,51.973403999999995
82,18.828125,52.617968000000005
83,19.046875,53.25971800000001
84,19.28125,53.896606000000006
85,19.5,54.512048
