id,time,value
0,0.0,30.894245
1,0.453125,30.895099
2,0.671875,30.880005999999998
3,0.90625,30.881123
4,1.125,30.880571999999997
5,1.359375,30.892815000000002
6,1.578125,30.898847999999997
7,1.796875,30.889234000000002
8,2.03125,30.897143
9,2.25,30.89381
10,2.46875,30.882958000000002
11,2.703125,30.891593
12,2.921875,30.8754
13,3.15625,30.893534999999996
14,3.375,30.890589000000002
15,3.59375,31.020718
16,3.828125,31.626724
17,4.046875,32.609705
18,4.265625,33.795147
19,4.5,35.018968
20,4.71875,36.230183000000004
21,4.9375,37.404149
22,5.171875,38.559252
23,5.390625,39.682796999999994
24,5.625,40.760759
25,5.84375,41.832017
26,6.0625,42.873267
27,6.296875,43.902462
28,6.515625,44.888509
29,6.734375,45.854529
30,6.96875,46.808169
31,7.1875,47.724546999999994
32,7.421875,48.626118
33,7.640625,49.526907
34,7.859375,50.3784
35,8.09375,51.222287
36,8.3125,52.060175
37,8.53125,52.857303
38,8.765625,53.653898999999996
39,8.984375,54.419841000000005
40,9.21875,55.186493999999996
41,9.4375,55.939554
42,9.65625,56.671684
43,9.890625,57.37334499999999
44,10.109375,58.09295899999999
45,10.328125,58.789216
46,10.5625,59.468945
47,10.78125,60.144447
48,11.0,60.803701000000004
49,11.234375,61.48434399999999
50,11.46875,62.125027
51,11.6875,62.745281999999996
52,11.921875,63.373342
53,12.140625,63.975533999999996
54,12.359375,64.575153
55,12.59375,65.186123
56,12.8125,65.772023
57,13.03125,66.365555
58,13.265625,66.942086
59,13.484375,67.4958
60,13.71875,68.061079
61,13.9375,68.623498
62,14.15625,69.163311
63,14.390625,69.704098
64,14.609375,70.242002
65,14.828125,70.76815699999999
66,15.0625,71.300246
67,15.28125,71.81039200000001
68,15.515625,72.332763
69,15.734375,72.82674499999999
70,15.953125,73.350328
71,16.1875,73.852026
72,16.40625,74.347481
73,16.625,74.846689
74,16.859375,75.324849
75,17.078125,75.816373
76,17.296875,76.297776
77,17.53125,76.78361
78,17.75,77.256579
79,17.984375,77.72654
80,18.203125,78.188664
81,18.421875,78.631431
82,18.65625,79.094957
83,18.875,79.556427
84,19.09375,79.985651
85,19.328125,80.453334
86,19.546875,80.88348
87,19.765625,81.29647
88,20.0,81.75535
89,20.21875,82.167826
90,20.453125,82.606564
91,20.671875,83.02784799999999
92,20.890625,83.46628100000001
93,21.125,83.865045
94,21.34375,84.29441
95,21.5625,84.695099
96,21.796875,85.124463
97,22.015625,85.519751
98,22.25,85.953086
99,22.46875,86.348519
100,22.6875,86.74835999999999
101,22.921875,87.121992
102,23.140625,87.525323
103,23.375,87.907461
104,23.59375,88.279707
105,23.8125,88.683148
106,24.046875,89.043626
107,24.265625,89.471994
108,24.484375,89.840278
109,24.71875,90.200367
110,24.9375,90.595268
111,25.171875,90.917705
112,25.390625,91.31996099999999
113,25.609375,91.697404
114,25.84375,92.045273
115,26.0625,92.378304
116,26.28125,92.75902099999999
117,26.515625,93.108524
118,26.734375,93.437037
119,26.96875,93.801727
120,27.1875,94.158843
121,27.40625,94.50055400000001
122,27.640625,94.826635
123,27.859375,95.17749
124,28.078125,95.523455
125,28.3125,95.84790100000001
126,28.53125,96.177751
127,28.75,96.51299399999999
128,28.984375,96.854178
129,29.203125,97.14895
130,29.4375,97.492238
131,29.65625,97.831571
132,29.875,98.12455200000001
133,30.109375,98.46292700000001
134,30.328125,98.78048000000001
135,30.546875,99.086854
136,30.78125,99.415118
137,31.0,99.727275
138,31.234375,100.016002
139,31.453125,100.348337
